doc_id,sentence_id,score,sentence,label_manual
63,462,0.4327,La mayor discrepancia de versiones y el origen de todas las sospechas sobre una eventual conexión con lo ocurrido reside en la actuación del Cabo 12 GC.,1
109,10,0.3015,Por cuanto el secuestro ilegal del Parlamento español por elementos sediciosos pertenecientes a un cuerpo armado ha constituido una amenaza a la pervivencia de la democracia en España,0
161,3071,0.3155,CORBERA INTERESANDOSE POR LA FAMILIA.,0
161,1561,0.3098,A - Que si él tiene el número del hemiciclo.,0
22,117,0.3236,Las órdenes se dieron por el Teniente Coronel Tejero en el despacho del Coronel Manchado.,0
159,166,0.3032,"PALACIO DEL CONGRESO ESTAN ACORDONADAS POR LA GUARDIA CIVIL, CUYOS.",0
37,19,0.3278,"General Cabrera, 18), a la que el General ARMADA no pudo asistir, y en la que se habló de ""reconducir cualquier acción"" que debía ser ""incruenta""..",1
161,4747,0.3088,B - Y lo acompañaron para vestirse?.,1
50,108,0.3157,"Quiero agradecer a todas las Autoridades, Entidades, Corporaciones, particulares y medios de comunicación social, la colaboración prestada y la comprensión de los motivos que produjeron la decisión transmitida en mi anterior comunicación..",0
44,70,0.3279,"El Fiscal está siendo duramente atacado por los defensores, —que reiteran constantemente la idea de que el mismo afirma los hechos sin estar probados de ninguna manera..",1
161,2914,0.3134,A - Pero deme Vd. el número que yo le llamaré más tarde..,0
33,37,0.3302,No vió a nadie tomar notas en el despacho de Ayudantes..,0
161,3996,0.33,"Él, desde luego, es maravilloso..",0
35,16,0.331,"Al Sr. López Montero, defensor del teniente coronel Tejero, responde así:.",0
161,2680,0.3148,"B - Pues dilo, dilo, sí es la verdad..",1
161,3741,0.3079,A - Yo le llamaré desde aquí y le diré que no vuelvo más a Jerez.,1
74,141,0.3094,En una monumental falacia presentar el golpe de Estado revolucionista como la solución a la actual situación de terrorismo que padece nuestro país.,1
21,12,0.3035,Preguntó el Fiscal si se necesitaban condiciones especiales para pertenecer al CESID y habla de —— pruebas,0
56,5,0.3112,"La publicación en algunos periódicos de estos cantos dio motivo a que la OIDREP de Defensa advirtiese, recientemente a los medios de comunicación que no diesen difusión o ningún escrito firmado por militares, hasta haber comprobado la veracidad de la identidad",0
161,4447,0.3234,"A - Pero, es que no hay más que ese, vamos los que había se los dio.",0
161,190,0.3275,Se fue antes de anoche en avión y vien llorando..,1
161,2097,0.3088,"B - Ya, ya, te dejo, tu Moncho.",0
63,684,0.304,MIGUEL a recoger dos vehículos y 4 radios portátiles TB.. .../....,0
161,1089,0.3181,Coronel concentró tanto poder en un cuarto de hora.,1
76,274,0.3215,"Transcurridos ocho largos meses, sigue sin saberse nada de la trama civil del golpe para crisis, investigación se constituyó un grupo español.",1
162,4,0.3224,"Operativas a nivel cupo de capitanías, Cincuentes.. ## Cronología últimas fases. ### D-3 Contactos:.",0
161,5055,0.317,"B - Yo más bien, he dicho ir insunuándole algo, porque como se le dé de golpe, aquél hombre como esta,.",1
64,67,0.2927,Se conocen contactos del Comandante Cortina con el Nuncio de Su Santidad y con el Embajador de EE.UU.,0
159,578,0.3071,Se pasó xerocopia al General Jale E.,0
93,245,0.3115,"Los enemigos de la democracia están arropados bajo el mando del ejército y de las FOP franquistas, sobre los que se ha erigido el gobierno de la derecha.",1
161,2765,0.3241,"B - Ya lo sé hija mía, así estamos todos, en fin.",1
161,724,0.3291,A - Oye voy a colgar porque estoy esperando la llamada de un Comisario.,1
161,4828,0.3203,"Ahora he llamado a Angel y van a llamar ellos, se ve que lo tenían mal colgao.",1
41,6,0.3202,El Sr. De Miguel continúa el desarrollo de su escrito de defensa de acuerdo con la estructura ya planteada en la sesión anterior.,0
115,51,0.3342,"En Alava UGT y CC.00. convocaron paro de dos horas, en la tarde de ayer, que sólo fue secundado por ""Unión Explosivos Rio-Tinto""..",0
161,672,0.2988,"A - Y mi hijo, ya ha terminado?.",1
50,249,0.3264,9 -. de S.M. o al menos a demostrar que los participantes lo creían.,1
161,202,0.3268,"B - El del interior, es que en el Cuartel Gral. mi cuñado el único teléfono que tiene es este..",0
2,28,0.3197,"Aquí se lanzan palabras como ""bandido, bien, etc."".",0
2,5,0.5246,El primer rumor es que los procesados se niegan a entrar en -la Sala con motivo del artículo antes citado..,1
63,719,0.3199,Recuerda que le dijo algo sobre su participación en lo ocurrido.,1
1,61,0.3212,"La sesión empezó sin la presencia de tres defensores (Tcol. -- MEER, Sr. GOMEZ GARCIA, Sr. LIÑAN), que se incorporaron posteriormente..",0
159,34,0.3347,"Lo que participa para conocimiento y efectos estimen procedentes, toda vez que dicha boca se halla cercana a esta Dirección General.. ![img-0.jpeg](img-0.jpeg).",1
161,3533,0.3223,B - Blas Piñar estaba en el Congreso?.,1
94,9,0.2992,Excmo. Señor Ministro de Asuntos Exteriores.,0
76,316,0.3182,"Mañana concluye el plazo para que el fiscal, de acuerdo con las instrucciones recibidas del Gobierno, recurra las sentencias dictadas por el consejo de guerra que ha condenado al capitán Jules Milano del Bosch a la pena de un mes y un día de arresto por injurias al Rey, y al coronel Alvaro Graiño, a dos meses y un día por falta de respeto a las entornos de militares mediante escrito.",0
16,29,0.3246,"En la reunión de la calle General Cabrera no estuvo presente el Sr. García Carrés, que había llegado allí ""por casualidad"".",1
161,1119,0.3227,"A - Pues, bien, sigue en la Comisaría del distrito de Centro.",0
14,41,0.2875,"Al Sr. Martín Fernández (Mas), De los 550 Generales, Jefes y Oficiales de la DIMT.",0
161,1895,0.3299,"B - Pero, ¿porqué te guías, por la información de la radio?.",1
76,361,0.307,Apoyo a las organizaciones de soldados con objeto de conseguir la democratización interna y el control popular del ejército..,0
38,15,0.3284,"No niega su implicación en los sucesos a partir del 23-F a las 23,30 horas.",1
2,47,0.3213,1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don JUAN PEREZ DE LA LASTRA..,0
15,80,0.3323,"También ha roto una lanza en favor del resto de los acusados, quitando importancia a su acción..",0
7,86,0.3136,"Balance Terrorista de ""EL ALCAZAR""..",0
164,114,0.3219,Que un capitán de un Regimiento y - soldaos y un sargento y eso.,0
65,122,0.3262,Se mantienen algunos efectivos en reserva..,0
50,149,0.3145,2 -. sobre el General ARMADA,0
63,618,0.2867,Se llevaron 3 coches y 3 radios..,0
